author,dynasty,content,book,title
佚名,春秋,關關雎鳩，在河之洲。窈窕淑女，君子好逑。參差荇菜，左右流之。窈窕淑女，寤寐求之。求之不得，寤寐思服。悠哉悠哉，輾轉反側。參差荇菜，左右采之。窈窕淑女，琴瑟友之。參差荇菜，左右芼之。窈窕淑女，鐘鼓樂之。,詩經,關雎
佚名,春秋,肅肅兔罝，椓之丁丁。赳赳武夫，公侯干城。,詩經,兔罝
佚名,春秋,采采芣苢，薄言采之。采采芣苢，薄言有之。采采芣苢，薄言掇之。采采芣苢，薄言捋之。采采芣苢，薄言袺之。采采芣苢，薄言襭之。,詩經,芣苢
佚名,春秋,葛之覃兮，施于中谷，維葉萋萋。黃鳥于飛，集於灌木，其鳴喈喈。葛之覃兮，施于中谷，維葉莫莫。是刈是濩，為絺為綌，服之無斁。言告師氏，言告言歸。薄汙我私，薄浣我衣。害浣害否？歸甯父母。,詩經,葛覃
佚名,春秋,南有喬木，不可休思。漢有遊女，不可求思。漢之廣矣，不可泳思。江之永矣，不可方思。,詩經,漢廣
佚名,春秋,采采卷耳，不盈頃筐。嗟我懷人，寘彼周行。陟彼崔嵬，我馬虺隤。我姑酌彼金罍，維以不永懷。陟彼高岡，我馬玄黃。我姑酌彼兕觥，維以不永傷。陟彼砠矣，我馬瘏矣，我僕痡矣，雲何籲矣。,詩經,卷耳
佚名,春秋,螽斯羽，詵詵兮。宜爾子孫，振振兮。,詩經,螽斯
佚名,春秋,桃之夭夭，灼灼其華。之子於歸，宜其室家。桃之夭夭，有蕡其實。之子於歸，宜其家室。桃之夭夭，其葉蓁蓁。之子於歸，宜其家人。,詩經,桃夭
佚名,春秋,南有樛木，葛藟累之。樂只君子，福履綏之。,詩經,樛木
佚名,春秋,遵彼汝墳，伐其條枚。未見君子，惄如調饑。,詩經,汝墳
佚名,春秋,厭浥行露，豈不夙夜，謂行多露。,詩經,行露
佚名,春秋,於以采蘋？南澗之濱。於以采藻？於彼行潦。,詩經,采蘋
佚名,春秋,蔽芾甘棠，勿剪勿伐，召伯所茇。蔽芾甘棠，勿剪勿敗，召伯所憩。蔽芾甘棠，勿剪勿拜，召伯所說。,詩經,甘棠
佚名,春秋,維鵲有巢，維鳩居之。之子於歸，百兩禦之。,詩經,鵲巢
佚名,春秋,於以采蘩？于沼於沚。於以用之？公侯之事。,詩經,采蘩
佚名,春秋,羔羊之皮，素絲五紽。退食自公，委蛇委蛇。,詩經,羔羊
佚名,春秋,嘒彼小星，三五在東。肅肅宵征，夙夜在公。寔命不同。嘒彼小星，維參與昴。肅肅宵征，抱衾與裯。寔命不猶。,詩經,小星
佚名,春秋,殷其雷，在南山之陽。何斯違斯，莫敢或遑？振振君子，歸哉歸哉！,詩經,殷其雷
佚名,春秋,江有汜，之子歸，不我以。不我以，其後也悔。,詩經,江有汜
佚名,春秋,摽有梅，其實七兮。求我庶士，迨其吉兮。摽有梅，其實三兮。求我庶士，迨其今兮。摽有梅，頃筐塈之。求我庶士，迨其謂之。,詩經,摽有梅
佚名,春秋,野有死麕，白茅包之。有女懷春，起士誘之。林有樸樕，野有死鹿。白茅純束，有女如玉。舒而脫脫兮！無感我帨兮！無使尨也吠！,詩經,野有死麕
佚名,春秋,泛彼柏舟，亦泛其流。耿耿不寐，如有隱憂。微我無酒，以敖以遊。我心匪鑒，不可以茹。亦有兄弟，不可以據。薄言往愬，逢彼之怒。我心匪石，不可轉也。我心匪席，不可卷也。威儀棣棣，不可選也。憂心悄悄，慍於群小。覯閔既多，受侮不少。靜言思之，寤辟有摽。日居月諸，胡迭而微？心之憂矣，如匪浣衣。靜言思之，不能奮飛。,詩經,柏舟
佚名,春秋,綠兮衣兮，綠衣黃裡。心之憂矣，曷維其已？綠兮衣兮，綠衣黃裳。心之憂矣，曷維其亡？綠兮絲兮，女所治兮。我思古人，俾無訧兮。絺兮綌兮，淒其以風。我思古人，實獲我心。,詩經,綠衣
佚名,春秋,燕燕于飛，差池其羽。之子於歸，遠送於野。瞻望弗及，泣涕如雨。,詩經,燕燕
佚名,春秋,日居月諸，照臨下土。乃如之人兮，逝不古處？胡能有定？甯不我顧。,詩經,日月
佚名,春秋,終風且暴，顧我則笑，謔浪笑敖，中心是悼。,詩經,終風
佚名,春秋,彼茁者葭，壹發五豝，於嗟乎騶虞！,詩經,騶虞
佚名,春秋,擊鼓其鏜，踴躍用兵。土國城漕，我獨南行。從孫子仲，平陳與宋。不我以歸，憂心有忡。爰居爰處？爰喪其馬？於以求之？于林之下。死生契闊，與子成說。執子之手，與子偕老。於嗟闊兮，不我活兮。於嗟洵兮，不我信兮。,詩經,擊鼓
佚名,春秋,何彼襛矣，唐棣之華？曷不肅雍？王姬之車。,詩經,何彼襛矣
