hanzi,wuxing
人,金
入,金
厶,金
刀,金
匕,金
刃,金
小,金
寸,金
三,金
上,金
才,金
川,金
亍,金
夕,金
千,金
叉,金
士,金
殳,金
仁,金
什,金
四,金
仄,金
仍,金
刈,金
乏,金
手,金
兮,金
氏,金
冗,金
爪,金
戈,金
心,金
少,金
世,金
示,金
生,金
仟,金
市,金
仞,金
史,金
失,金
矢,金
册,金
石,金
甩,金
仕,金
仙,金
斥,金
占,火
出,金
刊,金
尻,金
玊,金
乍,金
司,金
申,金
且,金
正,金
叱,金
叼,金
主,金
刎,金
如,金
臣,金
扔,金
任,金
守,金
吸,金
西,金
夙,金
次,金
舛,金
早,金
先,金
州,金
吏,金
舟,金
凸,金
此,金
死,金
汆,金
寺,金
妁,金
咤,金
列,金
匈,金
旬,金
在,金
舌,金
丢,金
字,金
再,金
曳,金
丞,金
而,金
囟,金
存,金
色,金
式,金
辛,金
判,金
伸,金
宋,金
身,金
伭,金
吹,金
七,金
走,金
卮,金
劭,金
酉,金
删,金
赤,金
坐,金
作,金
佐,金
忒,金
吻,金
串,金
卲,金
畲,金
兕,金
氚,金
姒,金
巡,金
兑,金
助,金
壮,金
忖,金
车,金
妊,金
岔,金
忍,金
吱,金
妆,金
皂,金
孜,金
成,金
束,金
秀,金
私,金
佀,金
吵,金
伫,金
扱,金
礽,金
伺,金
吮,金
序,金
忱,金
侃,金
些,金
昃,金
扯,金
戋,金
刷,金
抄,金
刻,金
忡,金
金,金
怎,金
青,金
姓,金
承,金
取,金
轧,金
甾,金
咋,金
刖,金
弨,金
侏,金
卒,金
佌,金
刺,金
周,金
妯,金
侁,金
呻,金
侘,金
咒,金
宙,金
忮,金
抒,金
妻,金
受,金
初,金
叁,金
孥,金
事,金
抓,金
始,金
使,金
刹,金
宗,金
升,金
叔,金
尚,金
姃,金
疝,金
兔,金
戕,金
所,金
昌,金
垂,金
儿,金
姗,金
刮,金
舍,金
社,金
昔,金
穸,金
忪,金
侄,金
庚,金
祀,金
咻,金
甚,金
舢,金
刭,金
耏,金
矧,金
庥,金
哂,金
度,金
钇,金
宣,金
页,金
毒,金
姺,金
叙,金
俓,金
厍,金
砂,金
首,金
秋,金
胥,金
舡,金
殂,金
思,金
娀,金
肜,金
籼,金
祆,金
纫,金
叟,金
帅,金
穿,金
柔,金
俗,金
剃,金
剞,金
怵,金
春,金
是,金
牲,金
省,金
尸,金
施,金
食,金
星,金
闩,金
室,金
促,金
衫,金
钆,金
削,金
耍,金
庠,金
姝,金
性,金
信,金
枯,金
峙,金
拙,金
眨,金
肘,金
姹,金
昨,金
昝,金
咱,金
俣,金
差,金
疢,金
宬,金
咨,金
拆,金
哉,金
则,金
怊,金
姿,金
咫,金
侵,金
伡,金
俎,金
怯,金
前,金
蚤,金
拄,金
臿,金
俞,金
查,金
抻,金
怔,金
怍,金
剖,金
掀,金
狨,金
轫,金
怪,金
敇,金
刚,金
纾,金
唓,金
耖,金
晁,金
殊,金
倪,金
拴,金
眧,金
狩,金
脆,金
酎,金
衽,金
书,金
哳,金
紊,金
息,金
唏,金
钌,金
孙,金
钊,金
拯,金
隼,金
针,金
倩,金
真,金
伥,金
索,金
剜,金
俶,金
弱,金
畛,金
剐,金
辱,金
疹,金
唆,金
剡,金
痄,金
窄,金
衰,金
祠,金
讪,金
借,金
素,金
祚,金
症,金
指,金
祟,金
纸,金
扇,金
鬯,金
刬,金
刍,金
倡,金
纯,金
宫,金
豺,金
席,金
宵,金
修,金
徐,金
宰,金
凋,金
唑,金
钋,金
邛,金
珊,金
珐,金
厝,金
剥,金
眚,金
吁,木
殉,金
射,金
神,金
娠,金
珅,金
财,金
痃,金
座,金
乘,金
租,金
玹,金
吣,金
钉,金
峻,金
眩,金
拾,金
翅,金
闪,金
持,金
祖,金
奘,金
栽,金
讱,金
宸,金
拽,金
珇,金
唣,金
十,金
笑,金
挈,金
疰,金
蚩,金
时,金
酌,金
师,金
哨,金
仓,金
栀,金
啥,金
胝,金
船,金
捎,金
商,金
常,金
唼,金
族,金
匙,金
奢,金
钏,金
蛇,金
欣,木
绍,金
组,金
狻,金
娼,金
设,金
侧,金
着,木
孰,金
钒,金
阡,金
昼,金
曹,金
彩,金
售,金
罡,金
专,金
捏,金
啐,金
厕,金
珠,金
捅,金
蛀,金
钎,金
钕,金
赦,金
得,金
疵,金
产,金
偲,金
绅,金
副,金
粗,金
瓷,金
众,金
挫,金
参,金
胂,金
终,金
紫,金
钗,金
玼,金
趾,金
胙,金
徙,金
琤,金
宿,金
酗,金
剪,金
做,金
紬,金
祭,金
钓,金
粘,金
雀,金
爽,金
砦,金
舴,金
旋,金
唱,金
悚,金
舷,金
讼,金
羞,金
馗,金
蚺,金
扎,金
邢,金
袖,金
祥,金
